id,Name,Batch,Sector,Region,Company_Desc,Founding_Date,Founders,Incubator,Location,Source_Url,Company_Url
1,Airbnb,W09,"MARKETPLACE, TRAVEL",SAN FRANCISCO,"Founded in August of 2008 and based in San Francisco, California, Airbnb is a trusted community marketplace for people to list, discover, and book unique accommodations around the world — online or from a mobile phone. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to unique travel experiences, at any price point, in more than 33,000 cities and 192 countries. And with world-class customer service and a growing community of users, Airbnb is the easiest way for people to monetize their extra space and showcase it to an audience of millions. 

No global movement springs from individuals. It takes an entire team united behind something big. Together, we work hard, we laugh a lot, we brainstorm nonstop, we use hundreds of Post-Its a week, and we give the best high-fives in town. Headquartered in San Francisco, we have satellite offices in Dublin, London, Barcelona, Paris, Milan, Copenhagen, Berlin, Moscow, São Paolo, Sydney, and Singapore.",2008,Nathan Blecharczyk| Brian Chesky| Joe Gebbia,Y Combinator,San Francisco,https://www.ycombinator.com/companies/airbnb,http://airbnb.com/
2,Amplitude,W12,"DEVELOPER-TOOLS, B2B, ANALYTICS, MARKETING, DATA-VISUALIZATION",SAN FRANCISCO,"Since graduating from YC, Amplitude (W12) has made it to IPO and beyond by helping cutting edge startups become category leaders. We’ve pioneered the digital analytics category to become the go-to solution for AI pioneers (Cruise, Midjourney), apps that touch millions of consumers (Doordash, Coinbase), and the best in B2B (Atlassian, Rippling, Canva). 

With product analytics, experiment, CDP, session replay, and more, Amplitude’s digital analytics platform shows you what your users love, where they’re getting stuck, and what keeps them coming back. You want to build a generational business, and we have the capabilities and pricing plans to guide you every step of the way. Check out our special deal for YC companies and get started on your analytics journey.",2012,Spenser Skates| Curtis Liu,Y Combinator,San Francisco,https://www.ycombinator.com/companies/amplitude,https://amplitude.com/
3,Coinbase,S12,CRYPTO-WEB3,SAN FRANCISCO,"Founded in June of 2012, Coinbase is a digital currency wallet and platform where merchants and consumers can transact with new digital currencies like bitcoin, ethereum, and litecoin. Our vision is to bring more innovation, efficiency, and equality of opportunity to the world by building an open financial system. Our first step on that journey is making digital currency accessible and approachable for everyone. Two principles guide our efforts. First, be the most trusted company in our domain. Second, create user-focused products that are easier and more intuitive to use.",2012,Brian Armstrong,Y Combinator,San Francisco,https://www.ycombinator.com/companies/coinbase,https://www.coinbase.com/
4,DoorDash,S13,"MARKETPLACE, E-COMMERCE",SAN FRANCISCO,"Founded in 2013, DoorDash is a San Francisco-based technology company passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living. Today, DoorDash connects customers with their favorite local and national restaurants in more than 600 cities across the United States and Canada. By building intelligent, last-mile delivery technology for local cities, DoorDash aims to connect people with the things they care about — one dash at a time. 

Read more at blog.doordash.com, and find us on Glassdoor.",2013,Andy Fang| Stanley Tang| Tony Xu,Y Combinator,San Francisco,https://www.ycombinator.com/companies/doordash,http://doordash.com/
5,Dropbox,S07,,SAN FRANCISCO,"Dropbox is building the world’s first smart workspace.
Back in 2007, making work better for people meant designing a simpler way to keep files in sync. Today, it means designing products that reduce busywork so you can focus on the work that matters.

Most “productivity tools” get in your way. They constantly ping, distract, and disrupt your team’s flow, so you spend your days switching between apps and tracking down feedback. It’s busywork, not the meaningful stuff. We want to change this. 

We believe there’s a more enlightened way to work. Dropbox helps people be organized, stay focused, and get in sync with their teams.",2008,Arash Ferdowsi| Drew Houston,Y Combinator,San Francisco,https://www.ycombinator.com/companies/dropbox,http://dropbox.com/
6,Ginkgo Bioworks,S14,"SYNTHETIC-BIOLOGY, DIAGNOSTICS, AUTOMATION",BOSTON,Ginkgo Bioworks is the organism company. We design custom organisms for customers across multiple markets. We build our foundries to scale the process of organism engineering using software and hardware automation. Organism engineers at Ginkgo learn from nature to develop new organisms that replace technology with biology.,2009,Barry Canton| Austin Che| Jason Kelly| Tom Knight| Reshma Shetty,Y Combinator,Boston,https://www.ycombinator.com/companies/ginkgo-bioworks,http://ginkgobioworks.com/
7,GitLab,W15,"DEVELOPER-TOOLS, DEVSECOPS, OPEN-SOURCE",SAN FRANCISCO,"GitLab is the first single application for the entire DevOps lifecycle. Only GitLab enables Concurrent DevOps, unlocking organizations from the constraints of today’s toolchain. GitLab provides unmatched visibility, radical new levels of efficiency and comprehensive governance to significantly compress the time between planning a change and monitoring its effect. This makes the software lifecycle 200% faster, radically improving the speed of business.

GitLab and Concurrent DevOps collapses cycle times by driving higher efficiency across all stages of the software development lifecycle. For the first time, Product, Development, QA, Security, and Operations teams can work concurrently in a single application. There’s no need to integrate and synchronize tools, or waste time waiting for handoffs. Everyone contributes to a single conversation, instead of managing multiple threads across disparate tools. And only GitLab gives teams complete visibility across the lifecycle with a single, trusted source of data to simplify troubleshooting and drive accountability. All activity is governed by consistent controls, making security and compliance first-class citizens instead of an afterthought.

Built on Open Source, GitLab leverages the community contributions of thousands of developers and millions of users to continuously deliver new DevOps innovations. More than 100,000 organizations from startups to global enterprise organizations, including Ticketmaster, Jaguar Land Rover, NASDAQ, Dish Network and Comcast trust GitLab to deliver great software at new speeds.",2012,Sid Sijbrandij| Dmytro Zaporozhets,Y Combinator,San Francisco,https://www.ycombinator.com/companies/gitlab,http://gitlab.com/
8,Instacart,S12,"GROCERY, DELIVERY, E-COMMERCE",SAN FRANCISCO,"Instacart is the North American leader in online grocery and one of the fastest-growing companies in e-commerce. Instacart’s same-day delivery and pickup services bring fresh groceries and everyday essentials to busy people and families across the U.S. and Canada in as fast as an hour. Since its founding in 2012, Instacart has become an essential service for millions of families, while also serving as an immediate, flexible earnings opportunity for hundreds of thousands of shoppers across North America. The company partners with more than 350 retailers and delivers from more than 25,000 stores across more than 5,500 cities in North America. Today, Instacart is accessible to more than 85% of households in the U.S. and more than 70% of households in Canada.",2012,Apoorva Mehta| Brandon Leonardo| Max Mullen,Y Combinator,San Francisco,https://www.ycombinator.com/companies/instacart,https://www.instacart.com/
9,Momentus,S18,"COMMERCIAL-SPACE-LAUNCH, SOLAR-POWER, SPACE-EXPLORATION",SANTA CLARA,"Momentus is a space infrastructure services company. As a first mover, Momentus will offer the most basic, foundational services that enable businesses to flourish in space. With their experienced team of aerospace, propulsion, and robotics engineers, Momentus makes and operates cost-effective and energy-efficient in-space transport and service vehicles that utilize water plasma propulsion technology. Momentus has service agreements in place with numerous private satellite companies, government agencies, and research organizations.",2017,Mikhail Kokorich,Y Combinator,"Santa Clara, CA",https://www.ycombinator.com/companies/momentus,https://momentus.space/
10,Notable Labs,W15,"BIOTECH, DRUG-DISCOVERY, ONCOLOGY",FOSTER CITY,"Notable Labs is building a personalized drug discovery platform to identify treatment options for relapsed and refractory cancer patients — starting with blood cancer — to address the long tail of cancer treatment. We look at a person’s actual cancer cells, test combinations of FDA approved drugs, and see which combinations kill the cancer cells and leave the healthy cells alive. We focus on combinations because cancer is often difficult to target with just one drug and starting with a single drug can lead to resistant clones or relapse. We're building a highly automated lab in Foster City running on our custom software and are currently testing relapsed/refractory cancer patients as well as samples from a variety of pharma/biotech partnerships.

https://www.notablelabs.com/careers",2014,Matthew De Silva| Pete Quinzio,Y Combinator,"Foster City, CA",https://www.ycombinator.com/companies/notable-labs,http://notablelabs.com/
