id,Name,Batch,Sector,Region,Company_Desc,Founding_Date,Founders,Incubator,Location,Source_Url,Company_Url
1,Asha Health,F24,"HEALTH-TECH, HEALTHCARE, AI",NEW YORK,"Asha Health enables medical practices to launch their own AI clinic, designed to fill crucial care gaps that their brick & mortar clinics are too overburdened to address — all while generating additional revenue on autopilot.",2024,"Akkshay Khoslaa, Founder Co-Founder & CEO @ Asha Health. Previously: led a portfolio of genAI products at Google, founded a community of 250+ healthcare innovators, developed 0-1 products at Facebook, and studied EECS @ UC Berkeley.| Gokul Kumarresen, Founder Co-Founder & CTO @ Asha Health. Previously: led Growth Engineering projects & new initiatives at Brex; built secure data-transfer tools for highly regulated environments, like Government Cloud, at Salesforce.",Y Combinator,New York,https://www.ycombinator.com/companies/asha-health,https://asha.health/
2,Bifrost Orbital,F24,"SATELLITES, AEROSPACE, TELECOMMUNICATIONS",SAN FRANCISCO,"Bifrost Orbital is building the SSH for satellites, i.e., creating a network of satellites to ensure continuous, real-time communication for other satellites in space. Our technology allows customers to monitor and control their satellites 24/7, just like accessing a computer remotely. We offer reliable, low-power, and backward-compatible solutions that work for both small and large spacecraft, making space operations more efficient and connected.",2024,"Onkar Singh, Founder and CEO Onkar is the Co-founder and CEO of Bifrost Orbital. He led InQube, India's first open-source satellite mission, specializing in system design, firmware, and software-defined radios, with 4+ years in the space industry. At 16, he developed and validated a multiplexing radio system for a radio based relay network.| Geffen Avraham, Co-founder and CTO Geffen is the Co-founder, CTO of Bifrost Orbital. He was involved in Duchifat-3, a CubeSat mission, leading him to become the only high-schooler invited to an academic space conference in China. At 16, he left school to pursue his passion for building satellites at a local laboratory.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/bifrost-orbital,https://bifrostorbital.com/
3,HumanLayer,F24,"DEVELOPER-TOOLS, GENERATIVE-AI",SAN FRANCISCO,"HumanLayer is an API that enables AI applications to contact humans for help, feedback, and approvals. One customer uses HumanLayer to ship DevOps agents that manage complex and risky workflows like production deployments and database migrations. 

We’re building HumanLayer because we know that the future of AI Applications is not gonna be humans sitting at a chat interface, the future is “outer loop” or “headless” agents, and our partners are building AI apps that invert the typical interaction paradigm. Autonomous agents are calling humans, not the other way around.

AI Agents are poised to disrupt the $4.6tn global labor market, but in order to make agents reliable today, and train them to be fully autonomous tomorrow, solutions like HumanLayer are an inevitable part of the AI Agent stack.",2023,"Dexter Horthy, Founder Previously engineer turned product manager at Replicated, a series C dev tools startup. I worked on container orchestrators, helped teams like Hashicorp, DataStax, and H2O.ai deliver and ship their kubernetes-native self-hosted offerings, and continually reinvented the developer experience for Replicated’s core products.  I stumbled on the Human-in-the-Loop-for-AI problem while building slack-based agents that managed SQL warehouses. In 3 weeks I pivoted to HumanLayer and launched an MVP",Y Combinator,San Francisco,https://www.ycombinator.com/companies/humanlayer,https://humanlayer.dev/
4,Fabricate,F24,"ARTIFICIAL-INTELLIGENCE, B2B, MANUFACTURING",,"Hardware engineers spend a quarter of their time just figuring out how to get their parts made, and from who. Fabricate builds procurement software for hardware teams. We help engineers manage manufacturing feasibility and procurement across their suppliers, whether they're getting parts custom manufactured or buying them off-the-shelf.",2024,"Lucas Crupi, Founder Co-founder @ Fabricate| Ethan Breit, Founder Co-founder @ Fabricate",Y Combinator,,https://www.ycombinator.com/companies/fabricate,https://www.tryfabricate.com/
5,Roundabout Technologies,F24,"HARDWARE, SAAS, GOVTECH, COMPUTER-VISION, TRANSPORTATION",SAN FRANCISCO,"Roundabout Technologies makes AI-powered traffic lights, allowing cities to reduce pedestrian deaths, improve traffic, and reduce resident complaints. Our founding team has experience building safety-critical embedded systems and AI at Waymo, Zoox, Google, and Verily.",2024,"Collin Barnwell, Founder Founder & CEO at Roundabout Technologies. Collin is a software leader and engineer with extensive experience building and shipping safety-critical IoT and camera devices, including a device that has been implanted in humans. He's worked at Google and Verily Life Sciences, and interned for startups Handshake and G2 both when they had fewer than 5 engineers.| Sabeek Pradhan, Founder Founder & CTO at Roundabout Technologies. Sabeek is a computer vision expert with extensive experience building systems for high-accuracy vehicle, pedestrian and bike detection and tracking at the self-driving car companies Zoox, Waymo and Applied Intuition, and his software has been deployed on public roads in fully driverless vehicles.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/roundabout-technologies,https://roundabout.tech/
6,Synth,F24,"ARTIFICIAL-INTELLIGENCE, REINFORCEMENT-LEARNING, INFRASTRUCTURE",SAN FRANCISCO,"You add a few decorators to your agent code, and run your agent on a dataset of questions you've generated / collected in the wild. We give you back a dataset of message triplets that's ready to be uploaded to your fine-tuning provider of choice (OpenAI, OpenPipe, Anthropic, Gemini, etc) that will give you a language model ready to steer your agent in production more effectively.",2024,"Josh Purtell, Founder Josh is the founder and CEO of Synth.  Before Synth, Josh was employee #3 and research scientist at Basis, which uses AI agents to automate accounting tasks. Previously, he built out the ML core of a Cyber Threat Intelligence SaaS product at Halborn, a cyber security startup that acqui-hired his startup Politeia. He founded Politeia while wrapping up a Math undergrad at Yale, where he did time-series ml research for fun.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/synth-3,https://www.usesynth.ai/
7,Helpcare AI,F24,"AIOPS, ARTIFICIAL-INTELLIGENCE, HEALTH-TECH, HEALTHCARE, AI-ASSISTANT",SAN FRANCISCO,"Helpcare builds AI Workers for healthcare orgs to take on coordination burden from staff and reduce time of care by autonomously identifying and outreaching patients (through phone, text, email, & mail) to schedule visits, book screenings, complete pre-post, and onboard. 

These agents require no integration, can navigate all tools, speak 29 languages, come with 50+ outreach scripts and have a remarkable 80% conversation-to-booking closing rate.",2024,"Huzaifa Sial, Founder Co-founder and CEO of Helpcare AI.  Huzaifa has a Masters in Clinical Informatics form Northwestern and has spent 14+ yrs building Healthcare AI solutions like disease prediction, DME optimization, patient engagement, care delivery search and behavioral engines for care gap closures, for some of the largest Payers & Providers. He has authored 4 Health AI Patents.  Previously, Huzaifa led AI Solutions @ United Healthcare & Optum and was part of 2 healthcare AI exits.| Ayush Tomar, Founder Co-founder and CTO of Helpcare AI.  Ayush has spent 10+ yrs as an ML scientist and software engineer building recommendation engines and search algorithms. As a Director of AI/ML Engineering at UnitedHealth Group, Ayush created products that helped patients take positive actions to manage their health and find the best doctors for their care needs. Authored 14 healthcare ML patents.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/helpcare-ai,https://helpcare.ai/
8,Canvas,F24,"SAAS, CUSTOMER-SUCCESS, ANALYTICS, ENTERPRISE, AI",SAN FRANCISCO,"Canvas is the AI-copilot for enterprise customer success teams. By automatically surfacing and addressing the most critical risks and growth opportunities, we transform CSMs from reactive support managers into proactive growth drivers.",2024,"Essam Sleiman, Founder & CEO Essam is the Founder & CEO at Canvas. Previously, he led the development of Twitch's first vision foundation model for continuous training on data, achieving a 50% reduction in storage and computation costs and a 9% performance boost. At Amazon, he built AWS IVS’s first ML backend service for seamless model deployment on video content, reducing deployment time by 40%. First-authored and co-authored 6 papers in top AI conferences (ie: cvpr, eccv).",Y Combinator,San Francisco,https://www.ycombinator.com/companies/canvas,https://www.canvas.inc/
9,Ember Copilot,F24,"SAAS, B2B, DIGITAL-HEALTH, HEALTHCARE, AI",SAN FRANCISCO,"We help surgery centers automate medical scribing, coding, and more, all directly integrated within their EHR.",2024,"Charlene Wang, Founder Charlene is the CEO and co-founder of Ember Copilot. Previously a product manager on Healthcare AI at Google, she collaborated with Elevance Health to develop remote patient monitoring solutions. Charlene led the launch of sleep-sensing technology on Google Nest’s smart displays, improving the sleep quality of millions of users. Her research has been featured in Radiology and NEJM Catalyst. She holds a degree in Applied Mathematics, Computer Science, and Economics from Brown University.| Warren Wang, Founder Warren is the co-founder of Ember Copilot. In the past, he did explainable AI research at MIT CSAIL and medical AI research with NVIDIA at hospitals in Taiwan. Warren holds a BS in EECS/Physics and MEng in EECS from MIT. He was a gold medalist at the 50th International Physics Olympiad.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/ember-copilot,https://www.embercopilot.ai/
10,Relvy AI,F24,"ARTIFICIAL-INTELLIGENCE, DEVELOPER-TOOLS, SAAS, B2B, DEVOPS",,"Relvy does 24x7 monitoring of production software logs to both discover and debug issues. We do this using our custom LLMs that are 200x cheaper than frontier models, which means we are the only AI that's usable at the scale of this problem.",2024,"Bharath Bhat, Founder Co-founder, CEO at Relvy AI. I enjoy building delightful AI powered software. Previously worked on efficient computer vision/language models for Google Pixel, YouTube and Uber.| Simranjit Singh, Founder Co-founder and CTO at Relvy. Prev Microsoft, Amazon, Vetan, Orbital Insight, Nutanix",Y Combinator,,https://www.ycombinator.com/companies/relvy-ai,https://www.relvy.ai/
